n,threads,time_trig,time_rev,type
1024,1,0.143508,0.000706,0
1024,1,0.202596,0.000662,0
1024,1,0.230402,0.000852,0
1024,1,0.233610,0.000768,0
4096,1,15.897073,0.013710,0
4096,1,15.639872,0.010401,0
4096,1,15.478422,0.010595,0
4096,1,15.719213,0.010943,0
1024,2,0.081388,0.000739,2
1024,2,0.093138,0.000715,2
1024,2,0.089000,0.000758,2
1024,2,0.085996,0.000716,2
1024,2,0.218668,0.005433,3
1024,2,0.133860,0.003952,3
1024,2,0.120725,0.003962,3
1024,2,0.101305,0.005312,3
1024,2,0.780053,0.000773,4
1024,2,0.756195,0.000717,4
1024,2,0.692939,0.000708,4
1024,2,0.602275,0.000615,4
1024,2,0.718067,0.004213,5
1024,2,0.751288,0.003324,5
1024,2,0.643511,0.003083,5
1024,2,0.612978,0.003369,5
1024,4,0.047671,0.000824,2
1024,4,0.052232,0.000866,2
1024,4,0.069002,0.000891,2
1024,4,0.059914,0.000798,2
1024,4,0.042068,0.003622,3
1024,4,0.064347,0.004350,3
1024,4,0.063267,0.004284,3
1024,4,0.044123,0.004061,3
1024,4,0.676623,0.000683,4
1024,4,0.821976,0.001046,4
1024,4,0.663555,0.000655,4
1024,4,0.634825,0.000626,4
1024,4,0.751989,0.004156,5
1024,4,0.737603,0.003219,5
1024,4,0.638487,0.003378,5
1024,4,0.652880,0.003286,5
1024,8,0.037340,0.000828,2
1024,8,0.039361,0.000944,2
1024,8,0.096569,0.000865,2
1024,8,0.055118,0.000961,2
1024,8,0.039765,0.005755,3
1024,8,0.037681,0.005009,3
1024,8,0.037110,0.005611,3
1024,8,0.040237,0.004515,3
1024,8,0.935647,0.000826,4
1024,8,1.203328,0.000746,4
1024,8,0.801123,0.000752,4
1024,8,0.783136,0.000772,4
1024,8,0.958003,0.004532,5
1024,8,0.984000,0.004664,5
1024,8,0.812918,0.004038,5
1024,8,0.830521,0.003933,5
1024,12,0.027558,0.000802,2
1024,12,0.676916,0.000832,2
1024,12,0.248899,0.000830,2
1024,12,0.311226,0.000756,2
1024,12,0.191748,0.017968,3
1024,12,0.028080,0.028811,3
1024,12,0.093383,0.068804,3
1024,12,0.059889,0.014549,3
1024,12,4.391651,0.000763,4
1024,12,2.392398,0.000763,4
1024,12,2.776611,0.000801,4
1024,12,2.804146,0.000722,4
1024,12,3.923428,0.013304,5
1024,12,2.584871,0.015181,5
1024,12,2.485929,0.004681,5
1024,12,2.460514,0.005057,5
1024,16,0.060389,0.000816,2
1024,16,0.064483,0.000768,2
1024,16,0.060826,0.000800,2
1024,16,0.065432,0.000841,2
1024,16,0.079602,0.060106,3
1024,16,0.055311,0.050505,3
1024,16,0.065302,0.054402,3
1024,16,0.067404,0.052063,3
1024,16,9.111047,0.000765,4
1024,16,8.713920,0.000761,4
1024,16,9.098808,0.000757,4
1024,16,8.929333,0.000782,4
1024,16,9.400924,0.054238,5
1024,16,8.887153,0.049108,5
1024,16,9.262409,0.050201,5
1024,16,9.559740,0.063066,5
4096,2,13.138942,0.011975,2
4096,2,13.157573,0.011096,2
4096,2,13.577515,0.011971,2
4096,2,13.581376,0.012151,2
4096,2,13.806544,0.018414,3
4096,2,13.646963,0.036113,3
4096,2,13.641711,0.018017,3
4096,2,13.856134,0.020023,3
4096,2,19.499428,0.010826,4
4096,2,18.823512,0.010503,4
4096,2,18.949226,0.011237,4
4096,2,18.996371,0.010317,4
4096,2,19.425037,0.017632,5
4096,2,18.812353,0.018894,5
4096,2,18.949129,0.016849,5
4096,2,18.907749,0.017621,5
4096,4,13.768943,0.013647,2
4096,4,13.298413,0.013096,2
4096,4,13.197892,0.013177,2
4096,4,13.603105,0.012856,2
4096,4,14.084326,0.018654,3
4096,4,13.358140,0.017285,3
4096,4,13.313110,0.018784,3
4096,4,13.713043,0.018308,3
4096,4,18.704517,0.011790,4
4096,4,18.638392,0.011678,4
4096,4,18.897334,0.019621,4
4096,4,22.097701,0.011479,4
4096,4,20.419843,0.018757,5
4096,4,19.418239,0.018238,5
4096,4,19.511673,0.017518,5
4096,4,18.544053,0.021169,5
4096,8,14.817627,0.015885,2
4096,8,14.995681,0.014403,2
4096,8,14.506209,0.014408,2
4096,8,14.789787,0.014590,2
4096,8,14.736112,0.022130,3
4096,8,14.374551,0.022305,3
4096,8,14.200617,0.022870,3
4096,8,14.056580,0.022909,3
4096,8,21.042152,0.013721,4
4096,8,20.179200,0.012813,4
4096,8,20.627268,0.012947,4
4096,8,20.165138,0.013891,4
4096,8,21.174485,0.019776,5
4096,8,21.055053,0.019106,5
4096,8,21.282928,0.019973,5
4096,8,20.505435,0.019360,5
4096,12,23.006947,0.018935,2
4096,12,18.989704,0.014272,2
4096,12,18.065997,0.019503,2
4096,12,18.318833,0.016055,2
4096,12,19.674322,0.052168,3
4096,12,18.415990,0.119625,3
4096,12,18.891995,0.069799,3
4096,12,18.456020,0.039444,3
4096,12,64.744001,0.014141,4
