n,threads,time_trig,time_rev,type
1024,1,1.002108,0.002928,0
1024,1,0.942981,0.001503,0
1024,1,0.884585,0.001559,0
1024,1,0.917913,0.001531,0
4096,1,57.447831,0.040052,0
4096,1,57.536833,0.022311,0
4096,1,57.905699,0.038696,0
4096,1,57.965558,0.026473,0
1024,2,0.540196,0.004040,3
1024,2,0.733025,0.004254,3
1024,2,0.561934,0.003950,3
1024,2,0.540590,0.004109,3
1024,2,1.388865,0.003908,5
1024,2,1.210823,0.004271,5
1024,2,1.635659,0.003848,5
1024,2,1.202753,0.004204,5
1024,4,0.457810,0.004871,3
1024,4,0.415331,0.004354,3
1024,4,0.393706,0.004151,3
1024,4,0.342068,0.003970,3
1024,4,1.182841,0.003851,5
1024,4,0.992364,0.003495,5
1024,4,0.997747,0.003580,5
1024,4,0.992032,0.003441,5
1024,8,0.261398,0.004942,3
1024,8,0.327738,0.004870,3
1024,8,0.484785,0.007314,3
1024,8,0.310975,0.005051,3
1024,8,1.209271,0.004484,5
1024,8,1.181867,0.003969,5
1024,8,1.002916,0.004017,5
1024,8,1.103277,0.004388,5
1024,12,1.849916,0.037568,3
1024,12,0.697571,0.009733,3
1024,12,0.352122,0.012262,3
1024,12,0.497359,0.026480,3
1024,12,4.567134,0.005436,5
1024,12,3.568589,0.023488,5
1024,12,3.608855,0.008986,5
1024,12,3.435076,0.020642,5
4096,2,35.674134,0.024569,3
4096,2,35.267184,0.025354,3
4096,2,35.332661,0.024012,3
4096,2,35.788256,0.031569,3
4096,2,50.374441,0.022587,5
4096,2,50.389689,0.025134,5
4096,2,49.718270,0.024050,5
4096,2,49.715824,0.025884,5
4096,4,23.934167,0.024279,3
4096,4,23.470157,0.020633,3
4096,4,24.269622,0.023872,3
4096,4,23.781320,0.019908,3
4096,4,39.592579,0.026370,5
4096,4,39.393635,0.019399,5
4096,4,39.531941,0.022611,5
4096,4,38.969030,0.020570,5
4096,8,19.966412,0.022705,3
4096,8,20.093057,0.022924,3
4096,8,19.857710,0.023390,3
4096,8,19.650107,0.022361,3
4096,8,36.561839,0.021456,5
4096,8,36.020244,0.022137,5
4096,8,36.409649,0.022220,5
4096,8,35.980492,0.021926,5
4096,12,24.545237,0.048024,3
4096,12,23.601534,0.050165,3
4096,12,23.887598,0.064564,3
4096,12,23.637389,0.067490,3
4096,12,102.697636,0.058545,5
4096,12,96.078417,0.075707,5
4096,12,94.495507,0.068707,5
4096,12,93.766869,0.032775,5
