n,threads,time_trig,time_rev,type
10240,1,259.781751,0.063598,0
10240,1,258.680368,0.061448,0
10240,1,257.727200,0.063900,0
10240,1,265.566351,0.064107,0
10240,2,222.844654,0.076841,3
10240,2,228.676135,0.062853,3
10240,2,230.120213,0.074366,3
10240,2,222.710672,0.064992,3
10240,2,255.298265,0.065671,5
10240,2,258.732247,0.060336,5
10240,2,254.257457,0.063646,5
10240,2,251.643808,0.063318,5
10240,4,223.879340,0.055604,3
10240,4,226.213839,0.068623,3
10240,4,226.497174,0.057561,3
10240,4,223.463300,0.057371,3
10240,4,251.037122,0.054427,5
10240,4,254.405096,0.058237,5
10240,4,259.139068,0.054094,5
10240,4,253.990058,0.062923,5
10240,8,243.768028,0.113861,3
