sch_type	chunk_size	threads	time
baseline	0	1	0.0278705
baseline	0	2	0.020900000000000002
baseline	0	4	0.01266275
baseline	0	8	0.0090245
baseline	0	12	0.0097025
baseline	0	16	0.0062775
auto	0	1	0.030025
auto	0	2	0.02015425
auto	0	4	0.01178525
auto	0	8	0.01037
auto	0	12	0.013747
auto	0	16	0.006427
static	0	1	0.035562750000000004
static	0	2	0.01878525
static	0	4	0.011986
static	0	8	0.00843775
static	0	12	0.00769425
static	0	16	0.0064475
dynamic	0	1	0.02565025
dynamic	0	2	0.0295695
dynamic	0	4	0.031248249999999998
dynamic	0	8	0.02595725
dynamic	0	12	0.0227135
dynamic	0	16	0.02142675
guided	0	1	0.02712025
guided	0	2	0.019672250000000002
guided	0	4	0.0133605
guided	0	8	0.00921
guided	0	12	0.00747475
guided	0	16	0.00895025
static_cs	4	1	0.026323
static_cs	4	2	0.01540625
static_cs	4	4	0.008915
static_cs	4	8	0.0084615
static_cs	4	12	0.00755675
static_cs	4	16	0.0076635
static_cs	8	1	0.0259405
static_cs	8	2	0.0153895
static_cs	8	4	0.00824175
static_cs	8	8	0.008137
static_cs	8	12	0.00663975
static_cs	8	16	0.00992325
static_cs	16	1	0.02567075
static_cs	16	2	0.013925
static_cs	16	4	0.0083315
static_cs	16	8	0.0065267499999999996
static_cs	16	12	0.0051565
static_cs	16	16	0.00635175
static_cs	32	1	0.02566125
static_cs	32	2	0.014066249999999999
static_cs	32	4	0.008938999999999999
static_cs	32	8	0.00662775
static_cs	32	12	0.008435999999999999
static_cs	32	16	0.006689
static_cs	64	1	0.025939999999999998
static_cs	64	2	0.014062999999999999
static_cs	64	4	0.00832075
static_cs	64	8	0.00702325
static_cs	64	12	0.00907875
static_cs	64	16	0.00633725
static_cs	128	1	0.02630025
static_cs	128	2	0.0135585
static_cs	128	4	0.01102
static_cs	128	8	0.007159
static_cs	128	12	0.01401025
static_cs	128	16	0.00649775
dynamic_cs	4	1	0.026571499999999998
dynamic_cs	4	2	0.0274985
dynamic_cs	4	4	0.01999825
dynamic_cs	4	8	0.01567425
dynamic_cs	4	12	0.01161425
dynamic_cs	4	16	0.013533749999999999
dynamic_cs	8	1	0.027588
dynamic_cs	8	2	0.0210085
dynamic_cs	8	4	0.011177
dynamic_cs	8	8	0.00947925
dynamic_cs	8	12	0.02980025
dynamic_cs	8	16	0.00938525
dynamic_cs	16	1	0.030805
dynamic_cs	16	2	0.017242
dynamic_cs	16	4	0.00819625
dynamic_cs	16	8	0.0053225
dynamic_cs	16	12	0.005897
dynamic_cs	16	16	0.005555249999999999
dynamic_cs	32	1	0.0263915
dynamic_cs	32	2	0.01563375
dynamic_cs	32	4	0.00724
dynamic_cs	32	8	0.00512775
dynamic_cs	32	12	0.00864325
dynamic_cs	32	16	0.00578175
dynamic_cs	64	1	0.026821499999999998
dynamic_cs	64	2	0.01379125
dynamic_cs	64	4	0.0072
dynamic_cs	64	8	0.00488925
dynamic_cs	64	12	0.00494375
dynamic_cs	64	16	0.00569425
dynamic_cs	128	1	0.02625575
dynamic_cs	128	2	0.013493999999999999
dynamic_cs	128	4	0.0072645
dynamic_cs	128	8	0.00504375
dynamic_cs	128	12	0.00545525
dynamic_cs	128	16	0.00630975
guided_cs	4	1	0.025615
guided_cs	4	2	0.0200405
guided_cs	4	4	0.01278175
guided_cs	4	8	0.00749425
guided_cs	4	12	0.0073095
guided_cs	4	16	0.00647025
guided_cs	8	1	0.025895750000000002
guided_cs	8	2	0.01993925
guided_cs	8	4	0.014423
guided_cs	8	8	0.00991525
guided_cs	8	12	0.01161725
guided_cs	8	16	0.00663125
guided_cs	16	1	0.0285475
guided_cs	16	2	0.0212505
guided_cs	16	4	0.01390275
guided_cs	16	8	0.00916075
guided_cs	16	12	0.010228250000000001
guided_cs	16	16	0.00653975
guided_cs	32	1	0.02580975
guided_cs	32	2	0.020895
guided_cs	32	4	0.0123705
guided_cs	32	8	0.00793275
guided_cs	32	12	0.0075822500000000004
guided_cs	32	16	0.00664525
guided_cs	64	1	0.02532875
guided_cs	64	2	0.02001025
guided_cs	64	4	0.01240775
guided_cs	64	8	0.0087915
guided_cs	64	12	0.0087965
guided_cs	64	16	0.0068755
guided_cs	128	1	0.026868
guided_cs	128	2	0.0198055
guided_cs	128	4	0.012005
guided_cs	128	8	0.0101375
guided_cs	128	12	0.0074605
guided_cs	128	16	0.00642525
