scl_type,chunk_size,threads,time
0,0,1,0.057364
0,0,1,0.054526
0,0,1,0.060731
0,0,1,0.056291
0,0,2,0.029880
0,0,2,0.026053
0,0,2,0.030640
0,0,2,0.038018
0,0,4,0.014613
0,0,4,0.026325
0,0,4,0.016017
0,0,4,0.017147
0,0,6,0.016867
0,0,6,0.019103
0,0,6,0.016778
0,0,6,0.018035
0,0,8,0.013928
0,0,8,0.014224
0,0,8,0.014340
0,0,8,0.013885
0,0,12,0.024539
0,0,12,0.033489
0,0,12,0.026997
0,0,12,0.010802
0,0,16,0.014397
0,0,16,0.013718
0,0,16,0.018356
0,0,16,0.014706
1,0,1,0.055040
1,0,1,0.058916
1,0,1,0.053365
1,0,1,0.055346
1,0,2,0.027823
1,0,2,0.030509
1,0,2,0.030293
1,0,2,0.028615
1,0,4,0.018569
1,0,4,0.018813
1,0,4,0.023164
1,0,4,0.017861
1,0,6,0.017619
1,0,6,0.017586
1,0,6,0.018978
1,0,6,0.010467
1,0,8,0.013458
1,0,8,0.014274
1,0,8,0.013462
1,0,8,0.013090
1,0,12,0.023748
1,0,12,0.026489
1,0,12,0.037121
1,0,12,0.015060
1,0,16,0.014783
1,0,16,0.014287
1,0,16,0.014832
1,0,16,0.014676
3,0,1,0.066842
3,0,1,0.076419
3,0,1,0.060130
3,0,1,0.052670
3,0,2,0.065176
3,0,2,0.069751
3,0,2,0.080464
3,0,2,0.062796
3,0,4,0.063837
3,0,4,0.067942
3,0,4,0.071978
3,0,4,0.060795
3,0,6,0.057808
3,0,6,0.058363
3,0,6,0.056539
3,0,6,0.055765
3,0,8,0.050933
3,0,8,0.047457
3,0,8,0.055385
3,0,8,0.049660
3,0,12,0.073407
3,0,12,0.042692
3,0,12,0.047678
3,0,12,0.072331
3,0,16,0.050171
3,0,16,0.052023
3,0,16,0.061366
3,0,16,0.071030
5,0,1,0.069434
5,0,1,0.061861
5,0,1,0.064641
5,0,1,0.057341
5,0,2,0.036624
5,0,2,0.032329
5,0,2,0.032683
5,0,2,0.032730
5,0,4,0.015556
5,0,4,0.018222
5,0,4,0.016737
5,0,4,0.020576
5,0,6,0.012984
5,0,6,0.015214
5,0,6,0.011108
5,0,6,0.012369
5,0,8,0.011684
5,0,8,0.011566
5,0,8,0.012981
5,0,8,0.011247
5,0,12,0.013264
5,0,12,0.020316
5,0,12,0.010056
5,0,12,0.011766
5,0,16,0.014641
5,0,16,0.014384
5,0,16,0.013380
5,0,16,0.013560
7,0,1,0.075472
7,0,1,0.081985
7,0,1,0.059486
7,0,1,0.070956
7,0,2,0.066649
7,0,2,0.065567
7,0,2,0.078960
7,0,2,0.089867
7,0,4,0.077824
7,0,4,0.093974
7,0,4,0.072918
7,0,4,0.071587
7,0,6,0.059160
7,0,6,0.063318
7,0,6,0.060186
7,0,6,0.059414
7,0,8,0.048444
7,0,8,0.086075
7,0,8,0.050000
7,0,8,0.054734
7,0,12,0.048680
7,0,12,0.066123
7,0,12,0.048309
7,0,12,0.045426
