scl_type,chunk_size,threads,time
3,1,1,0.001593
3,1,1,0.001677
3,1,1,0.001621
3,1,1,0.001658
3,1,2,0.001578
3,1,2,0.001502
3,1,2,0.001548
3,1,2,0.001259
3,1,4,0.001182
3,1,4,0.000901
3,1,4,0.001149
3,1,4,0.000992
3,1,8,0.001108
3,1,8,0.001026
3,1,8,0.001003
3,1,8,0.000955
3,1,12,0.001761
3,1,12,0.019873
3,1,12,0.001233
3,1,12,0.001200
3,4,1,0.001619
3,4,1,0.001615
3,4,1,0.001632
3,4,1,0.001621
3,4,2,0.001493
3,4,2,0.001453
3,4,2,0.001417
3,4,2,0.001427
3,4,4,0.000884
3,4,4,0.000921
3,4,4,0.000843
3,4,4,0.000877
3,4,8,0.001073
3,4,8,0.001011
3,4,8,0.000948
3,4,8,0.000971
3,4,12,0.001149
3,4,12,0.001125
3,4,12,0.001240
3,4,12,0.001204
3,8,1,0.001622
3,8,1,0.001613
3,8,1,0.005019
3,8,1,0.001616
3,8,2,0.001155
3,8,2,0.001204
3,8,2,0.001196
3,8,2,0.001403
3,8,4,0.000861
3,8,4,0.000839
3,8,4,0.000896
3,8,4,0.000870
3,8,8,0.000877
3,8,8,0.001190
3,8,8,0.001211
3,8,8,0.000971
3,8,12,0.001172
3,8,12,0.001139
3,8,12,0.001035
3,8,12,0.001422
3,128,1,0.001653
3,128,1,0.001799
3,128,1,0.001708
3,128,1,0.001742
3,128,2,0.001082
3,128,2,0.001070
3,128,2,0.001056
3,128,2,0.001172
3,128,4,0.001104
3,128,4,0.001186
3,128,4,0.000989
3,128,4,0.000846
3,128,8,0.001194
3,128,8,0.000998
3,128,8,0.001000
3,128,8,0.001097
3,128,12,0.001251
3,128,12,0.001413
3,128,12,0.001228
3,128,12,0.001226
