n,threads,time
10000000,1,0.139402
10000000,1,0.126228
10000000,1,0.121322
10000000,1,0.125259
10000000,2,0.073572
10000000,2,0.066461
10000000,2,0.069478
10000000,2,0.069300
10000000,4,0.042559
10000000,4,0.040747
10000000,4,0.046609
10000000,4,0.044927
10000000,8,0.026020
10000000,8,0.037822
10000000,8,0.032577
10000000,8,0.028322
10000000,16,0.029281
10000000,16,0.027457
10000000,16,0.028587
10000000,16,0.027063
10000000,32,0.023911
10000000,32,0.025247
10000000,32,0.023833
10000000,32,0.024183
100000000,1,1.330863
100000000,1,1.306933
100000000,1,1.287673
100000000,1,1.283969
100000000,2,0.688563
100000000,2,0.700515
100000000,2,0.741721
100000000,2,0.763529
100000000,4,0.391832
100000000,4,0.387685
100000000,4,0.415303
100000000,4,0.393983
100000000,8,0.249885
100000000,8,0.281877
100000000,8,0.252448
100000000,8,0.251972
100000000,16,0.228455
100000000,16,0.247971
100000000,16,0.234734
100000000,16,0.234265
100000000,32,0.229086
100000000,32,0.238067
100000000,32,0.244846
100000000,32,0.237884
1000000000,1,13.217941
1000000000,1,13.401694
1000000000,1,13.160100
1000000000,1,13.405761
1000000000,2,7.348574
1000000000,2,7.335951
1000000000,2,7.316480
1000000000,2,7.594917
1000000000,4,4.229083
1000000000,4,4.269339
1000000000,4,4.197035
1000000000,4,4.347947
1000000000,8,2.932729
1000000000,8,2.841512
1000000000,8,2.692498
1000000000,8,2.882565
1000000000,16,2.637744
1000000000,16,2.684002
1000000000,16,2.591574
1000000000,16,2.596482
1000000000,32,2.344451
1000000000,32,2.283127
1000000000,32,2.292645
1000000000,32,2.274100
5000000000,1,67.383493
5000000000,1,66.420414
5000000000,1,67.057784
5000000000,1,66.959094
5000000000,2,36.339866
5000000000,2,35.908958
5000000000,2,35.999241
5000000000,2,35.964669
5000000000,4,20.839278
5000000000,4,21.085317
5000000000,4,21.499401
5000000000,4,21.114693
5000000000,8,13.721729
5000000000,8,13.783002
5000000000,8,13.884764
5000000000,8,13.841033
5000000000,16,12.901775
5000000000,16,12.666846
5000000000,16,12.442834
5000000000,16,12.442275
5000000000,32,12.714330
5000000000,32,12.589206
5000000000,32,13.152490
5000000000,32,13.034495
10000000000,1,135.282323
10000000000,1,133.556723
10000000000,1,135.757726
10000000000,1,133.799451
10000000000,2,69.888936
10000000000,2,69.716986
10000000000,2,69.036836
10000000000,2,68.881455
10000000000,4,40.356398
10000000000,4,39.953796
10000000000,4,40.211270
10000000000,4,40.283674
10000000000,8,25.813120
10000000000,8,25.848599
10000000000,8,26.167709
10000000000,8,26.214340
10000000000,16,23.289707
10000000000,16,22.939708
10000000000,16,23.120528
10000000000,16,22.350992
10000000000,32,22.026188
10000000000,32,21.956672
10000000000,32,21.940035
10000000000,32,22.118480
