method,threads,padding,time,m,n,p
false sharing,2,0,13.024169,8000,8000,80
false sharing,2,0,13.116251,8000,8000,80
false sharing,2,0,12.416918,8000,8000,80
false sharing,2,0,12.661365,8000,8000,80
false sharing,4,0,8.622055,8000,8000,80
false sharing,4,0,8.400400,8000,8000,80
false sharing,4,0,8.780854,8000,8000,80
false sharing,4,0,8.475475,8000,8000,80
false sharing,8,0,6.493400,8000,8000,80
false sharing,8,0,7.076809,8000,8000,80
false sharing,8,0,6.501696,8000,8000,80
false sharing,8,0,6.455163,8000,8000,80
false sharing,2,0,0.117812,8000,8000,1
false sharing,2,0,0.121183,8000,8000,1
false sharing,2,0,0.138216,8000,8000,1
false sharing,2,0,0.121778,8000,8000,1
false sharing,4,0,0.072273,8000,8000,1
false sharing,4,0,0.057003,8000,8000,1
false sharing,4,0,0.095617,8000,8000,1
false sharing,4,0,0.084636,8000,8000,1
false sharing,8,0,0.047754,8000,8000,1
false sharing,8,0,0.042010,8000,8000,1
false sharing,8,0,0.044985,8000,8000,1
false sharing,8,0,0.050668,8000,8000,1
false sharing,2,0,0.275778,8000,8000,2
false sharing,2,0,0.206691,8000,8000,2
false sharing,2,0,0.211212,8000,8000,2
false sharing,2,0,0.221604,8000,8000,2
false sharing,4,0,0.145512,8000,8000,2
false sharing,4,0,0.141568,8000,8000,2
false sharing,4,0,0.143484,8000,8000,2
false sharing,4,0,0.185273,8000,8000,2
false sharing,8,0,0.084105,8000,8000,2
false sharing,8,0,0.084603,8000,8000,2
false sharing,8,0,0.086114,8000,8000,2
false sharing,8,0,0.088777,8000,8000,2
false sharing,2,0,0.390785,8000,8000,4
false sharing,2,0,0.419028,8000,8000,4
false sharing,2,0,0.453673,8000,8000,4
false sharing,2,0,0.397643,8000,8000,4
false sharing,4,0,0.241460,8000,8000,4
false sharing,4,0,0.243705,8000,8000,4
false sharing,4,0,0.262618,8000,8000,4
false sharing,4,0,0.277342,8000,8000,4
false sharing,8,0,0.188256,8000,8000,4
false sharing,8,0,0.180186,8000,8000,4
false sharing,8,0,0.212829,8000,8000,4
false sharing,8,0,0.179145,8000,8000,4
false sharing,2,0,0.891536,8000,8000,8
false sharing,2,0,0.886084,8000,8000,8
false sharing,2,0,0.957562,8000,8000,8
false sharing,2,0,0.875807,8000,8000,8
false sharing,4,0,0.641776,8000,8000,8
false sharing,4,0,0.556579,8000,8000,8
false sharing,4,0,0.580472,8000,8000,8
false sharing,4,0,0.562118,8000,8000,8
false sharing,8,0,0.397245,8000,8000,8
false sharing,8,0,0.411031,8000,8000,8
false sharing,8,0,0.405379,8000,8000,8
false sharing,8,0,0.403338,8000,8000,8
false sharing,2,0,0.127482,8,8000000,1
false sharing,2,0,0.111864,8,8000000,1
false sharing,2,0,0.103742,8,8000000,1
false sharing,2,0,0.110176,8,8000000,1
false sharing,4,0,0.171280,8,8000000,1
false sharing,4,0,0.163861,8,8000000,1
false sharing,4,0,0.181341,8,8000000,1
false sharing,4,0,0.181665,8,8000000,1
false sharing,8,0,0.173247,8,8000000,1
false sharing,8,0,0.176669,8,8000000,1
false sharing,8,0,0.140053,8,8000000,1
false sharing,8,0,0.142986,8,8000000,1
false sharing,2,0,0.267428,8,8000000,2
false sharing,2,0,0.270208,8,8000000,2
false sharing,2,0,0.236200,8,8000000,2
false sharing,2,0,0.270810,8,8000000,2
false sharing,4,0,0.289470,8,8000000,2
false sharing,4,0,0.282996,8,8000000,2
false sharing,4,0,0.262924,8,8000000,2
false sharing,4,0,0.305729,8,8000000,2
false sharing,8,0,0.260028,8,8000000,2
false sharing,8,0,0.279782,8,8000000,2
false sharing,8,0,0.251778,8,8000000,2
false sharing,8,0,0.277333,8,8000000,2
false sharing,2,0,0.645138,8,8000000,4
false sharing,2,0,0.568289,8,8000000,4
false sharing,2,0,0.579078,8,8000000,4
false sharing,2,0,0.577261,8,8000000,4
false sharing,4,0,0.454582,8,8000000,4
false sharing,4,0,0.472679,8,8000000,4
false sharing,4,0,0.411497,8,8000000,4
false sharing,4,0,0.411941,8,8000000,4
false sharing,8,0,0.440977,8,8000000,4
false sharing,8,0,0.426415,8,8000000,4
false sharing,8,0,0.546926,8,8000000,4
false sharing,8,0,0.534246,8,8000000,4
false sharing,2,0,1.761174,8,8000000,8
