n,threads,time
10000000,1,0.15001975
10000000,2,0.07967099999999999
10000000,4,0.051059
10000000,8,0.028086
10000000,16,0.029235999999999998
10000000,32,0.02622175
100000000,1,1.4278757499999999
100000000,2,0.77410975
100000000,4,0.4477525
100000000,8,0.28934325
100000000,16,0.269447
100000000,32,0.25911175
1000000000,1,14.77304775
1000000000,2,7.842768749999999
1000000000,4,4.8485015
1000000000,8,3.1572485
1000000000,16,2.825479
1000000000,32,2.68553875
5000000000,1,73.22969425
5000000000,2,41.14873225
5000000000,4,24.31095175
5000000000,8,15.7704575
5000000000,16,14.41964025
5000000000,32,14.167656749999999
10000000000,1,143.9786945
10000000000,2,74.73021675
10000000000,4,44.85024325
10000000000,8,30.832889
10000000000,16,27.15717875
10000000000,32,25.06218475
